SPACE_POINTS_X
50,51.5152,53.0303,54.5455,56.0606,57.5758,59.0909,60.6061,62.1212,63.6364,65.1515,66.6667,68.1818,69.697,71.2121,72.7273,74.2424,75.7576,77.2727,78.7879,80.303,81.8182,83.3333,84.8485,86.3636,87.8788,89.3939,90.9091,92.4242,93.9394,95.4545,96.9697,98.4848,100,101.515,103.03,104.545,106.061,107.576,109.091,110.606,112.121,113.636,115.152,116.667,118.182,119.697,121.212,122.727,124.242,125.758,127.273,128.788,130.303,131.818,133.333,134.848,136.364,137.879,139.394,140.909,142.424,143.939,145.455,146.97,148.485,150,151.515,153.03,154.545,156.061,157.576,159.091,160.606,162.121,163.636,165.152,166.667,168.182,169.697,171.212,172.727,174.242,175.758,177.273,178.788,180.303,181.818,183.333,184.848,186.364,187.879,189.394,190.909,192.424,193.939,195.455,196.97,198.485,200
SPACE_POINTS_Y
0,0.0144928,0.0289855,0.0434783,0.057971,0.0724638,0.0869565,0.101449,0.115942,0.130435,0.144928,0.15942,0.173913,0.188406,0.202899,0.217391,0.231884,0.246377,0.26087,0.275362,0.289855,0.304348,0.318841,0.333333,0.347826,0.362319,0.376812,0.391304,0.405797,0.42029,0.434783,0.449275,0.463768,0.478261,0.492754,0.507246,0.521739,0.536232,0.550725,0.565217,0.57971,0.594203,0.608696,0.623188,0.637681,0.652174,0.666667,0.681159,0.695652,0.710145,0.724638,0.73913,0.753623,0.768116,0.782609,0.797101,0.811594,0.826087,0.84058,0.855072,0.869565,0.884058,0.898551,0.913043,0.927536,0.942029,0.956522,0.971014,0.985507,1
VALUES
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.808152,0.808285,0.80926,0.810546,0.812307,0.814213,0.816383,0.81866,0.821104,0.823619,0.826221,0.828862,0.831424,0.834477,0.836432,0.840647,0.841009,0.847251,0.845418,0.854027,0.849875,0.860625,0.854662,0.866801,0.859858,0.872484,0.865459,0.877719,0.871386,0.882627,0.877509,0.887337,0.883682,0.891955,0.889781,0.896568,0.895736,0.901239,0.901517,0.905992,0.90711,0.910816,0.912519,0.915689,0.917769,0.920594,0.922889,0.925502,0.927894,0.930389,0.932804,0.935233,0.93763,0.940011,0.942367,0.944698,0.947003,0.949292,0.951579,0.953871,0.956263,0.958775,0.958573,0.973322,0.928791,1.08377,0.619161,2.07344,-3.7128,51.5152
1.59455,1.59885,1.60345,1.60824,1.61331,1.61846,1.62382,1.62925,1.63485,1.64049,1.64619,1.65203,1.6573,1.66422,1.66774,1.67736,1.67727,1.69112,1.68651,1.705,1.69588,1.71838,1.7059,1.73086,1.71669,1.74233,1.72822,1.75291,1.74033,1.76286,1.75277,1.77241,1.76528,1.78178,1.7776,1.79113,1.78962,1.8006,1.80127,1.81021,1.81254,1.81996,1.82344,1.82979,1.83401,1.83968,1.84431,1.84957,1.85439,1.8594,1.86427,1.86915,1.87397,1.87876,1.8835,1.88818,1.89282,1.89742,1.90201,1.90661,1.9114,1.91657,1.91561,1.94717,1.85177,2.18036,1.19532,4.29957,-7.59593,53.0303
2.37465,2.38315,2.39178,2.40042,2.40924,2.41803,2.42694,2.43586,2.44493,2.45401,2.46293,2.47257,2.48003,2.49216,2.49586,2.51293,2.51044,2.53419,2.52482,2.55525,2.53955,2.57536,2.55525,2.59406,2.57202,2.61126,2.58979,2.62718,2.60832,2.64219,2.62725,2.65664,2.6462,2.67085,2.66483,2.68503,2.68297,2.69937,2.70055,2.71392,2.71754,2.72865,2.73397,2.74351,2.7499,2.75843,2.76543,2.77334,2.78061,2.78816,2.79549,2.80285,2.81011,2.81732,2.82446,2.83151,2.83849,2.84541,2.85232,2.85923,2.86642,2.87438,2.8721,2.92245,2.77022,3.28938,1.73654,6.59806,-10.5896,54.5455
3.15301,3.16566,3.17834,3.19092,3.20361,3.21616,3.22876,3.2413,3.25394,3.26676,3.27851,3.29309,3.30121,3.32086,3.32213,3.34977,3.3418,3.37862,3.36165,3.40671,3.38219,3.43331,3.40404,3.45798,3.4272,3.48074,3.45151,3.50188,3.47667,3.52191,3.50221,3.54128,3.52768,3.56036,3.55266,3.57943,3.57695,3.59869,3.60047,3.61822,3.62321,3.63799,3.64518,3.65789,3.66649,3.67787,3.68726,3.69783,3.70756,3.71766,3.72746,3.73729,3.74701,3.75664,3.76618,3.77561,3.78493,3.79418,3.80341,3.81263,3.8222,3.83309,3.82893,3.89995,3.6854,4.40993,2.2536,8.89508,-12.8539,56.0606
3.93228,3.949,3.9657,3.9822,3.99877,4.0151,4.03143,4.04765,4.06367,4.081,4.09413,4.11609,4.12169,4.15276,4.14743,4.18997,4.17239,4.22622,4.19814,4.26097,4.22501,4.29364,4.25349,4.32393,4.28343,4.35197,4.31457,4.37818,4.34652,4.40315,4.37878,4.42741,4.41081,4.45137,4.44215,4.47534,4.47259,4.49956,4.50204,4.5241,4.5305,4.54891,4.55801,4.57387,4.5847,4.59892,4.61071,4.62392,4.63612,4.64876,4.66103,4.67334,4.6855,4.69757,4.7095,4.7213,4.73297,4.74453,4.75607,4.7676,4.77953,4.79347,4.78689,4.88034,4.5985,5.54078,2.75802,11.1438,-14.5226,57.5758
4.7143,4.73502,4.75568,4.77606,4.79646,4.81653,4.83657,4.85677,4.87508,4.8992,4.91011,4.94418,4.94178,4.99011,4.97237,5.03534,5.00308,5.07845,5.03534,5.11928,5.0691,5.15748,5.10471,5.19297,5.1418,5.22599,5.18002,5.25706,5.21891,5.28686,5.25794,5.31596,5.29654,5.3448,5.33422,5.37368,5.37077,5.40285,5.40612,5.43241,5.44028,5.46226,5.4733,5.49228,5.50534,5.52238,5.53656,5.55241,5.56707,5.58223,5.59698,5.61175,5.62635,5.64083,5.65516,5.66932,5.68331,5.69718,5.71102,5.72485,5.73911,5.75623,5.74669,5.8642,5.51068,6.6804,3.26055,13.3167,-15.7068,59.0909
5.5005,5.52514,5.54969,5.57388,5.59808,5.62183,5.64511,5.67093,5.68789,5.72439,5.72588,5.78007,5.76144,5.83487,5.7975,5.88731,5.83476,5.93642,5.87425,5.98259,5.91552,6.02574,5.95872,6.06596,6.00329,6.10363,6.04879,6.13936,6.09472,6.17387,6.14055,6.20775,6.18569,6.24143,6.22967,6.27521,6.27228,6.30934,6.31347,6.34389,6.35329,6.37877,6.39177,6.41383,6.42912,6.44895,6.46552,6.48398,6.50109,6.51877,6.53596,6.55319,6.5702,6.58709,6.60379,6.6203,6.6366,6.65276,6.66889,6.68499,6.70155,6.72196,6.70895,6.852,6.42306,7.82718,3.77044,15.3994,-16.498,60.6061
6.29201,6.32048,6.34882,6.37674,6.40475,6.43273,6.45637,6.49387,6.50016,6.56033,6.54028,6.62627,6.58068,6.68856,6.62348,6.74687,6.66838,6.80091,6.71591,6.85162,6.76527,6.89909,6.81648,6.94359,6.8688,6.98561,6.92173,7.02579,6.97476,7.06489,7.02737,7.1035,7.07901,7.14199,7.12922,7.18064,7.1778,7.2197,7.22478,7.25923,7.27017,7.2991,7.31407,7.33915,7.35668,7.37926,7.39821,7.41926,7.43879,7.45896,7.47858,7.49824,7.51766,7.53692,7.55598,7.57481,7.5934,7.61183,7.63022,7.64858,7.66739,7.6912,7.67423,7.84416,7.3367,8.97949,4.29517,17.3867,-16.9708,62.1212
7.08981,7.12202,7.15404,7.18543,7.21624,7.25352,7.26624,7.33162,7.3085,7.41083,7.35237,7.48454,7.39994,7.55201,7.45128,7.61453,7.505,7.67238,7.56135,7.72681,7.61934,7.77803,7.6789,7.82641,7.73916,7.87249,7.7996,7.91695,7.85972,7.96054,7.91907,8.0038,7.97712,8.04706,8.03346,8.09056,8.08795,8.13451,8.14061,8.17898,8.19151,8.22381,8.24076,8.26881,8.28856,8.31385,8.33516,8.35876,8.38071,8.40333,8.42536,8.44742,8.46921,8.49083,8.51222,8.53335,8.55421,8.57487,8.5955,8.61609,8.63711,8.66443,8.64304,8.841,8.2526,10.1358,4.84051,19.2791,-17.1862,63.6364
