SPACE_POINTS_X
50,51.0067,52.0134,53.0201,54.0268,55.0336,56.0403,57.047,58.0537,59.0604,60.0671,61.0738,62.0805,63.0872,64.094,65.1007,66.1074,67.1141,68.1208,69.1275,70.1342,71.1409,72.1477,73.1544,74.1611,75.1678,76.1745,77.1812,78.1879,79.1946,80.2013,81.2081,82.2148,83.2215,84.2282,85.2349,86.2416,87.2483,88.255,89.2617,90.2685,91.2752,92.2819,93.2886,94.2953,95.302,96.3087,97.3154,98.3221,99.3289,100.336,101.342,102.349,103.356,104.362,105.369,106.376,107.383,108.389,109.396,110.403,111.409,112.416,113.423,114.43,115.436,116.443,117.45,118.456,119.463,120.47,121.477,122.483,123.49,124.497,125.503,126.51,127.517,128.523,129.53,130.537,131.544,132.55,133.557,134.564,135.57,136.577,137.584,138.591,139.597,140.604,141.611,142.617,143.624,144.631,145.638,146.644,147.651,148.658,149.664,150.671,151.678,152.685,153.691,154.698,155.705,156.711,157.718,158.725,159.732,160.738,161.745,162.752,163.758,164.765,165.772,166.779,167.785,168.792,169.799,170.805,171.812,172.819,173.826,174.832,175.839,176.846,177.852,178.859,179.866,180.872,181.879,182.886,183.893,184.899,185.906,186.913,187.919,188.926,189.933,190.94,191.946,192.953,193.96,194.966,195.973,196.98,197.987,198.993,200
SPACE_POINTS_Y
0,0.0244898,0.0489796,0.0734694,0.0979592,0.122449,0.146939,0.171429,0.195918,0.220408,0.244898,0.269388,0.293878,0.318367,0.342857,0.367347,0.391837,0.416327,0.440816,0.465306,0.489796,0.514286,0.538776,0.563265,0.587755,0.612245,0.636735,0.661224,0.685714,0.710204,0.734694,0.759184,0.783673,0.808163,0.832653,0.857143,0.881633,0.906122,0.930612,0.955102,0.979592,1.00408,1.02857,1.05306,1.07755,1.10204,1.12653,1.15102,1.17551,1.2
VALUES
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.606842,0.573531,0.47127,0.606464,0.491953,0.588433,0.51618,0.57907,0.533457,0.576063,0.546558,0.576495,0.557298,0.578844,0.566528,0.58233,0.57475,0.586542,0.582286,0.59123,0.589332,0.59621,0.595965,0.60133,0.602226,0.606523,0.608208,0.611792,0.613985,0.617076,0.619518,0.622282,0.6249,0.6277,0.631689,0.637931,0.605142,0.69481,0.541365,0.800073,0.419523,0.974844,0.19777,1.27729,-0.205792,1.84203,-1.04415,3.29644,-4.92318,51.0067
0.606842,1.33363,0.915167,1.19884,0.98751,1.1678,1.03243,1.15311,1.06576,1.14884,1.09167,1.15057,1.11315,1.15577,1.13169,1.16306,1.14823,1.1717,1.1634,1.18124,1.17759,1.19133,1.19093,1.20167,1.20353,1.21213,1.21555,1.22274,1.22716,1.23336,1.23828,1.24382,1.24908,1.25467,1.2626,1.27579,1.20874,1.39015,1.08046,1.60155,0.835843,1.95247,0.390771,2.55955,-0.419139,3.69334,-2.10374,6.62143,-9.62407,51.0067
1.72447,1.6605,1.45337,1.76056,1.49342,1.73647,1.55168,1.72179,1.59856,1.71851,1.63642,1.72259,1.66834,1.7312,1.69611,1.74263,1.72098,1.75592,1.74383,1.77046,1.7652,1.78575,1.78531,1.8014,1.80429,1.8172,1.8224,1.8332,1.83988,1.84921,1.85662,1.86496,1.87287,1.88124,1.89306,1.91385,1.81119,2.0862,1.61779,2.40439,1.24974,2.9324,0.580462,3.84517,-0.63666,5.54863,-3.16652,9.92909,-13.7054,53.0201
1.72447,2.38833,1.93013,2.31211,2.00973,2.2947,2.07561,2.28518,2.13308,2.28531,2.18166,2.29288,2.22354,2.30552,2.26034,2.32144,2.29348,2.33959,2.32399,2.35926,2.35256,2.37986,2.37947,2.40088,2.40486,2.42208,2.42909,2.4435,2.45247,2.46493,2.47485,2.48599,2.49656,2.5077,2.52334,2.55237,2.41287,2.78309,2.15385,3.20856,1.66193,3.91418,0.768209,5.13266,-0.855167,7.40287,-4.2207,13.1814,-17.2225,53.0201
2.31919,2.87132,2.4699,2.84182,2.53673,2.84391,2.60482,2.84377,2.67011,2.84959,2.72811,2.86182,2.77933,2.8791,2.82488,2.89986,2.86615,2.92308,2.90428,2.94801,2.94005,2.974,2.97375,3.00044,3.00557,3.02707,3.03593,3.05394,3.06522,3.08081,3.09326,3.10721,3.12044,3.13433,3.15373,3.19158,3.01412,3.48096,2.68906,4.01401,2.07311,4.89737,0.955291,6.42057,-1.07168,9.25134,-5.25542,16.3506,-20.2418,54.0268
3.25973,3.21714,3.0432,3.36063,3.07098,3.38653,3.13916,3.39839,3.21013,3.41177,3.27629,3.42975,3.33619,3.45229,3.39015,3.47824,3.43939,3.50671,3.48506,3.53702,3.52798,3.56847,3.56848,3.60038,3.60671,3.63246,3.64321,3.66481,3.67841,3.69713,3.71212,3.72887,3.74477,3.76139,3.78447,3.83169,3.61525,4.17995,3.22385,4.8207,2.4839,5.88156,1.1429,7.70759,-1.28343,11.0897,-6.26104,19.4176,-22.8386,56.0403
3.25973,3.88818,3.55277,3.88758,3.60835,3.92513,3.67806,3.95004,3.75338,3.97239,3.82662,3.99706,3.89453,4.02542,3.95654,4.05689,4.01355,4.09081,4.06665,4.12659,4.11667,4.16356,4.16392,4.20098,4.20856,4.23854,4.25118,4.27636,4.29229,4.31413,4.33166,4.35121,4.36977,4.38909,4.41579,4.4729,4.21656,4.88016,3.75859,5.62859,2.89488,6.86638,1.33213,8.99249,-1.48787,12.914,-7.22927,22.3696,-25.0432,56.0403
4.31342,4.27355,4.09104,4.41512,4.14841,4.46168,4.22088,4.49979,4.29989,4.53197,4.37938,4.56412,4.45469,4.59883,4.52437,4.63611,4.58893,4.67565,4.64934,4.717,4.70639,4.75954,4.76035,4.80249,4.81138,4.84553,4.8601,4.88884,4.9071,4.93205,4.95212,4.97445,4.99566,5.01767,5.0479,5.11538,4.81832,5.58171,4.29364,6.43764,3.3066,7.85147,1.52402,10.2741,-1.68269,14.7207,-8.15317,25.1992,-26.913,58.0537
4.31342,4.99058,4.58294,4.94581,4.69138,4.9977,4.76699,5.04867,4.84963,5.0911,4.93478,5.13132,5.01695,5.17281,5.09393,5.21618,5.16582,5.26149,5.2334,5.3085,5.29739,5.35664,5.35801,5.40515,5.41538,5.45367,5.47017,5.50244,5.52304,5.55109,5.57369,5.5988,5.62265,5.64732,5.681,5.75929,5.42079,6.28468,4.82933,7.24781,3.71957,8.83649,1.71949,11.5515,-1.86578,16.5068,-9.02715,27.9027,-28.4783,58.0537
4.89402,5.48244,5.1371,5.46505,5.23824,5.53453,5.31587,5.59761,5.40252,5.65032,5.49298,5.69902,5.58154,5.74767,5.66547,5.79736,5.74447,5.84858,5.81906,5.90131,5.88991,5.9551,5.95711,6.00916,6.02078,6.06316,6.08161,6.11738,6.14032,6.17145,6.19657,6.22444,6.25093,6.27822,6.31527,6.40479,6.02419,6.98916,5.36596,8.05908,4.13425,9.82114,1.91942,12.8236,-2.03526,18.2696,-9.84685,30.4797,-29.7778,59.0604
5.80544,5.8091,5.73798,5.97975,5.7868,6.07358,5.86716,6.1474,5.9585,6.21016,6.05405,6.26761,6.14865,6.32368,6.23922,6.3799,6.32509,6.43715,6.40656,6.49566,6.48414,6.55511,6.55787,6.61473,6.62777,6.67419,6.6946,6.73385,6.75911,6.79329,6.82094,6.85155,6.88065,6.91055,6.95087,7.05201,6.62875,7.69524,5.90382,8.87139,4.55108,10.8052,2.12459,14.0897,-2.18947,20.0069,-10.6091,32.9324,-30.8608,61.0738
6.27997,6.30727,6.29364,6.51002,6.33359,6.61596,6.4207,6.69866,6.51749,6.77111,6.61809,6.83741,6.71842,6.90112,6.81536,6.96402,6.9079,7.02739,6.99608,7.09174,7.08029,7.15686,7.16045,7.22203,7.23654,7.28694,7.30931,7.35199,7.37958,7.4168,7.44695,7.48028,7.51198,7.54445,7.58796,7.70108,7.23465,8.40299,6.44318,9.68472,4.97044,11.7883,2.33571,15.349,-2.32696,21.7169,-11.3116,35.2645,-31.7461,62.0805
6.88331,6.89037,6.79713,7.06005,6.87834,7.16193,6.9766,7.25183,7.0795,7.33359,7.18514,7.40876,7.291,7.48023,7.39406,7.54994,7.49306,7.6195,7.5878,7.68972,7.67853,7.76052,7.76504,7.83123,7.84724,7.90157,7.9259,7.97199,8.00188,8.04211,8.07475,8.11078,8.14506,8.18006,8.22668,8.35211,7.84209,9.11246,6.98426,10.499,5.39271,12.7702,2.55344,16.6008,-2.44648,23.3982,-11.9533,37.4808,-32.4507,63.0872
