SPACE_POINTS_X
50,51.0067,52.0134,53.0201,54.0268,55.0336,56.0403,57.047,58.0537,59.0604,60.0671,61.0738,62.0805,63.0872,64.094,65.1007,66.1074,67.1141,68.1208,69.1275,70.1342,71.1409,72.1477,73.1544,74.1611,75.1678,76.1745,77.1812,78.1879,79.1946,80.2013,81.2081,82.2148,83.2215,84.2282,85.2349,86.2416,87.2483,88.255,89.2617,90.2685,91.2752,92.2819,93.2886,94.2953,95.302,96.3087,97.3154,98.3221,99.3289,100.336,101.342,102.349,103.356,104.362,105.369,106.376,107.383,108.389,109.396,110.403,111.409,112.416,113.423,114.43,115.436,116.443,117.45,118.456,119.463,120.47,121.477,122.483,123.49,124.497,125.503,126.51,127.517,128.523,129.53,130.537,131.544,132.55,133.557,134.564,135.57,136.577,137.584,138.591,139.597,140.604,141.611,142.617,143.624,144.631,145.638,146.644,147.651,148.658,149.664,150.671,151.678,152.685,153.691,154.698,155.705,156.711,157.718,158.725,159.732,160.738,161.745,162.752,163.758,164.765,165.772,166.779,167.785,168.792,169.799,170.805,171.812,172.819,173.826,174.832,175.839,176.846,177.852,178.859,179.866,180.872,181.879,182.886,183.893,184.899,185.906,186.913,187.919,188.926,189.933,190.94,191.946,192.953,193.96,194.966,195.973,196.98,197.987,198.993,200
SPACE_POINTS_Y
0,0.0244898,0.0489796,0.0734694,0.0979592,0.122449,0.146939,0.171429,0.195918,0.220408,0.244898,0.269388,0.293878,0.318367,0.342857,0.367347,0.391837,0.416327,0.440816,0.465306,0.489796,0.514286,0.538776,0.563265,0.587755,0.612245,0.636735,0.661225,0.685714,0.710204,0.734694,0.759184,0.783674,0.808163,0.832653,0.857143,0.881633,0.906123,0.930612,0.955102,0.979592,1.00408,1.02857,1.05306,1.07755,1.10204,1.12653,1.15102,1.17551,1.2
VALUES
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.857051,0.402573,0.608645,0.503901,0.57474,0.528947,0.567745,0.543046,0.568089,0.553012,0.571313,0.561394,0.575633,0.569021,0.580395,0.576213,0.585406,0.583112,0.590597,0.589778,0.595893,0.596181,0.601192,0.602297,0.606475,0.608208,0.611793,0.613974,0.617096,0.619524,0.622324,0.624924,0.627539,0.630174,0.63277,0.633903,0.641111,0.632515,0.658347,0.615631,0.701036,0.555886,0.814151,0.376246,1.13999,-0.208237,2.34947,-3.89202,50
1.15157,1.10757,0.97953,1.16581,1.01674,1.14022,1.05743,1.13105,1.08441,1.13333,1.10425,1.14046,1.12116,1.14948,1.13658,1.15926,1.15111,1.16947,1.16503,1.17999,1.17846,1.1907,1.19136,1.20139,1.20367,1.21204,1.21555,1.22274,1.22714,1.2334,1.23829,1.24391,1.24913,1.25438,1.25967,1.26491,1.2671,1.28171,1.26421,1.31647,1.23004,1.40258,1.10945,1.63069,0.747021,2.28806,-0.433223,4.73731,-7.67956,52.0134
1.65709,1.6268,1.51217,1.70911,1.53802,1.69601,1.58788,1.69,1.6254,1.69615,1.65457,1.70794,1.67997,1.72204,1.70325,1.73707,1.7252,1.75264,1.74622,1.76862,1.76649,1.78483,1.78594,1.801,1.80449,1.81707,1.8224,1.8332,1.83985,1.84926,1.85664,1.86508,1.87295,1.88085,1.8888,1.89672,1.89992,1.92209,1.89539,1.97463,1.8436,2.10475,1.66125,2.44936,1.11374,3.44191,-0.667792,7.12871,-10.9345,53.0201
1.65709,2.35918,1.99848,2.24776,2.0665,2.24316,2.12149,2.24503,2.16694,2.25703,2.2047,2.27422,2.23841,2.29376,2.26954,2.31425,2.29894,2.33532,2.3271,2.35686,2.35425,2.37866,2.38029,2.40036,2.40512,2.4219,2.42908,2.4435,2.45242,2.465,2.47487,2.48616,2.49668,2.50723,2.51786,2.5285,2.53262,2.56251,2.52635,2.63304,2.45664,2.80769,2.21181,3.26988,1.47775,4.59929,-0.904843,9.4938,-13.7013,53.0201
2.69531,2.67042,2.57016,2.76891,2.60223,2.78347,2.65852,2.79691,2.70964,2.81645,2.75522,2.83973,2.797,2.86505,2.83591,2.8912,2.87275,2.9179,2.90806,2.94508,2.9421,2.97253,2.97475,2.99981,3.00589,3.02685,3.03592,3.05395,3.06516,3.0809,3.09329,3.10742,3.1206,3.13381,3.14712,3.1605,3.16549,3.20324,3.15738,3.29192,3.06949,3.51149,2.76164,4.09198,1.84035,5.75804,-1.13768,11.811,-16.0581,55.0336
3.21271,3.19687,3.09688,3.29209,3.14223,3.31939,3.19857,3.34665,3.25384,3.37493,3.30661,3.4049,3.3562,3.4363,3.40277,3.46828,3.44701,3.50071,3.48945,3.53361,3.53037,3.56675,3.56964,3.59965,3.60708,3.63222,3.64318,3.66482,3.67834,3.69724,3.71214,3.72911,3.74497,3.76084,3.77682,3.79297,3.79876,3.84448,3.78871,3.95148,3.68245,4.21625,3.3112,4.9154,2.20273,6.91613,-1.36023,14.0653,-18.0541,56.0403
3.21271,3.91382,3.59259,3.81504,3.68568,3.85333,3.7409,3.89536,3.79974,3.93301,3.85924,3.97011,3.91637,4.00785,3.97049,4.04581,4.02205,4.08407,4.07158,4.12274,4.11937,4.16162,4.16524,4.20015,4.20898,4.23826,4.25115,4.27638,4.29221,4.31426,4.33169,4.3515,4.37002,4.38854,4.4072,4.42614,4.43267,4.48647,4.42059,4.61187,4.29578,4.92205,3.86092,5.7399,2.56604,8.07165,-1.56719,16.2465,-19.7164,56.0403
