SPACE_POINTS_X
50,50.6711,51.3423,52.0134,52.6846,53.3557,54.0268,54.698,55.3691,56.0403,56.7114,57.3826,58.0537,58.7248,59.396,60.0671,60.7383,61.4094,62.0805,62.7517,63.4228,64.094,64.7651,65.4362,66.1074,66.7785,67.4497,68.1208,68.7919,69.4631,70.1342,70.8054,71.4765,72.1477,72.8188,73.4899,74.1611,74.8322,75.5034,76.1745,76.8456,77.5168,78.1879,78.8591,79.5302,80.2013,80.8725,81.5436,82.2148,82.8859,83.557,84.2282,84.8993,85.5705,86.2416,86.9128,87.5839,88.255,88.9262,89.5973,90.2685,90.9396,91.6107,92.2819,92.953,93.6242,94.2953,94.9664,95.6376,96.3087,96.9799,97.651,98.3221,98.9933,99.6644,100.336,101.007,101.678,102.349,103.02,103.691,104.362,105.034,105.705,106.376,107.047,107.718,108.389,109.06,109.732,110.403,111.074,111.745,112.416,113.087,113.758,114.43,115.101,115.772,116.443,117.114,117.785,118.456,119.128,119.799,120.47,121.141,121.812,122.483,123.154,123.826,124.497,125.168,125.839,126.51,127.181,127.852,128.523,129.195,129.866,130.537,131.208,131.879,132.55,133.221,133.893,134.564,135.235,135.906,136.577,137.248,137.919,138.591,139.262,139.933,140.604,141.275,141.946,142.617,143.289,143.96,144.631,145.302,145.973,146.644,147.315,147.987,148.658,149.329,150
SPACE_POINTS_Y
0,0.0244898,0.0489796,0.0734694,0.0979592,0.122449,0.146939,0.171429,0.195918,0.220408,0.244898,0.269388,0.293878,0.318367,0.342857,0.367347,0.391837,0.416327,0.440816,0.465306,0.489796,0.514286,0.538776,0.563265,0.587755,0.612245,0.636735,0.661224,0.685714,0.710204,0.734694,0.759184,0.783673,0.808163,0.832653,0.857143,0.881633,0.906122,0.930612,0.955102,0.979592,1.00408,1.02857,1.05306,1.07755,1.10204,1.12653,1.15102,1.17551,1.2
VALUES
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.557036,0.260841,0.414696,0.331266,0.382027,0.353588,0.375784,0.363037,0.376361,0.36961,0.378662,0.375343,0.381677,0.380588,0.38513,0.385462,0.388864,0.390052,0.392766,0.394424,0.396752,0.398633,0.400759,0.402718,0.404742,0.406708,0.408675,0.410617,0.412544,0.414452,0.416343,0.418215,0.420069,0.421906,0.423724,0.425524,0.427307,0.429071,0.430819,0.432554,0.434236,0.435946,0.438147,0.435876,0.457049,0.376466,0.713934,-1.31226,50
0.484877,0.929854,0.566385,0.810957,0.66634,0.7595,0.706605,0.749552,0.725012,0.75134,0.738222,0.756215,0.749792,0.762416,0.76037,0.769442,0.770192,0.777,0.779432,0.784874,0.788228,0.792901,0.79669,0.800959,0.8049,0.808964,0.812913,0.816862,0.820761,0.824628,0.828456,0.832249,0.836005,0.839724,0.843406,0.847052,0.850662,0.854235,0.857771,0.861275,0.864753,0.868124,0.871533,0.876058,0.870969,0.915597,0.745002,1.47945,-3.14056,50.6711
0.903953,1.25551,0.906031,1.18633,1.00823,1.1317,1.0599,1.12138,1.0863,1.12511,1.10609,1.13284,1.12355,1.14239,1.13952,1.1531,1.15435,1.16456,1.16829,1.17647,1.18155,1.18858,1.1943,1.20073,1.20667,1.21279,1.21874,1.22468,1.23055,1.23637,1.24213,1.24783,1.25348,1.25907,1.26461,1.27009,1.27552,1.28089,1.2862,1.29147,1.2967,1.30176,1.30686,1.31383,1.30536,1.3758,1.10508,2.29344,-4.77308,51.3423
1.24815,1.58817,1.26492,1.54332,1.35761,1.49866,1.41397,1.49143,1.44722,1.49786,1.47346,1.5087,1.49682,1.52175,1.51822,1.53625,1.53809,1.55169,1.55676,1.56768,1.57453,1.58393,1.5916,1.6002,1.60815,1.61634,1.62429,1.63224,1.64009,1.64787,1.65557,1.66319,1.67074,1.67821,1.68561,1.69294,1.70018,1.70736,1.71446,1.72149,1.72847,1.73524,1.74201,1.75157,1.73912,1.83779,1.4565,3.14409,-6.22545,52.0134
1.57531,1.92047,1.63762,1.88611,1.71343,1.8611,1.76901,1.85989,1.80801,1.86973,1.84052,1.88396,1.86976,1.90066,1.8966,1.91903,1.92154,1.93851,1.94499,1.95864,1.96728,1.97905,1.9887,1.99947,2.00946,2.01972,2.02969,2.03966,2.04949,2.05924,2.06888,2.07844,2.08789,2.09725,2.10652,2.11569,2.12476,2.13374,2.14263,2.15143,2.16018,2.16865,2.17707,2.18934,2.17233,2.30172,1.79946,4.02137,-7.51238,52.6846
1.89468,2.22794,2.02278,2.21982,2.07353,2.22017,2.12498,2.22704,2.16888,2.24089,2.20746,2.25877,2.24254,2.27925,2.27482,2.30159,2.30485,2.32517,2.33308,2.34947,2.35992,2.37407,2.38571,2.39867,2.41069,2.42303,2.43504,2.44702,2.45885,2.47057,2.48217,2.49366,2.50502,2.51627,2.52741,2.53843,2.54934,2.56013,2.57081,2.58138,2.59189,2.60207,2.61212,2.62725,2.60504,2.76769,2.1344,4.91685,-8.64761,53.3557
2.49291,2.47975,2.41384,2.55064,2.43528,2.57725,2.48173,2.59315,2.52999,2.61151,2.57446,2.63326,2.6153,2.65766,2.65302,2.68404,2.68813,2.71177,2.72116,2.74028,2.75257,2.7691,2.78274,2.79789,2.81196,2.82639,2.84043,2.85444,2.86827,2.88197,2.89553,2.90894,2.92223,2.93537,2.94838,2.96125,2.97399,2.9866,2.99907,3.01142,3.02369,3.03558,3.04725,3.06538,3.03734,3.23579,2.46197,5.82358,-9.65324,54.698
2.7898,2.79977,2.79105,2.88486,2.79623,2.9336,2.83904,2.95853,2.89148,2.98173,2.94166,3.00757,2.9882,3.03601,3.03131,3.06651,3.0715,3.09843,3.10934,3.13117,3.14533,3.16424,3.1799,3.19724,3.21336,3.22988,3.24596,3.262,3.27783,3.29351,3.30903,3.32439,3.33958,3.35462,3.36951,3.38423,3.39881,3.41323,3.4275,3.44162,3.45566,3.46926,3.48251,3.50379,3.46928,3.70606,2.78295,6.73589,-10.5385,55.3691
3.11983,3.13936,3.15429,3.22592,3.15467,3.29025,3.19675,3.32345,3.25344,3.35171,3.30919,3.38182,3.36134,3.41442,3.40981,3.4491,3.45508,3.48526,3.49773,3.52226,3.5383,3.55958,3.57726,3.5968,3.61498,3.6336,3.65172,3.66979,3.68762,3.70529,3.72276,3.74006,3.75718,3.77411,3.79087,3.80745,3.82386,3.8401,3.85616,3.87206,3.88786,3.90318,3.91798,3.94255,3.90093,4.17855,3.09819,7.64892,-11.3055,56.0403
3.4598,3.48366,3.50576,3.57522,3.50983,3.64787,3.5548,3.68814,3.61599,3.72159,3.67717,3.75613,3.73484,3.79299,3.78863,3.83193,3.83896,3.87235,3.88641,3.91363,3.93157,3.95522,3.97493,3.99666,4.01691,4.03762,4.05779,4.07789,4.09773,4.11737,4.13681,4.15605,4.17508,4.19391,4.21254,4.23098,4.24922,4.26727,4.28512,4.3028,4.32037,4.3374,4.35373,4.38175,4.33234,4.65324,3.40858,8.55863,-11.9644,56.7114
3.80646,3.83021,3.84624,3.93275,3.86181,4.00673,3.91319,4.05281,3.97921,4.0915,4.04573,4.13063,4.10883,4.17185,4.16788,4.21508,4.22325,4.2598,4.27549,4.30538,4.32522,4.35125,4.37299,4.39692,4.41923,4.44203,4.46424,4.48637,4.50822,4.52985,4.55124,4.57242,4.59336,4.61409,4.6346,4.65489,4.67496,4.69482,4.71446,4.73391,4.75324,4.77199,4.78982,4.82144,4.76359,5.13012,3.71504,9.46173,-12.5247,57.3826
4.16975,4.1861,4.17487,4.2973,4.21153,4.36679,4.27203,4.41763,4.34319,4.46158,4.41495,4.50541,4.48338,4.55107,4.54765,4.59865,4.60802,4.6477,4.66505,4.69759,4.71935,4.74774,4.77152,4.79763,4.82201,4.8469,4.87116,4.89532,4.91917,4.94278,4.96613,4.98924,5.0121,5.03472,5.0571,5.07924,5.10114,5.12281,5.14424,5.16545,5.18655,5.20702,5.22631,5.26169,5.19473,5.60916,4.01847,10.3556,-12.9952,58.0537
4.57431,4.57299,4.49169,4.66617,4.56043,4.72778,4.6315,4.78273,4.70801,4.83194,4.78493,4.88059,4.85861,4.93077,4.92803,4.98274,4.99338,5.03613,5.05517,5.09034,5.11404,5.14477,5.17059,5.19889,5.22533,5.25231,5.27861,5.3048,5.33064,5.35623,5.38154,5.40658,5.43136,5.45586,5.48011,5.50409,5.52782,5.5513,5.57451,5.59748,5.62034,5.64253,5.66324,5.70254,5.62583,6.09028,4.31973,11.2383,-13.3839,58.7248
