SPACE_POINTS_X
50,54.4485,58.5443,62.3192,65.8023,69.0206,71.9991,74.7607,77.327,79.7177,81.9513,84.0452,86.0156,87.8777,89.646,91.3341,92.955,94.5215,96.0455,97.5389,99.0132,100.48,101.95,103.436,104.948,106.498,108.099,109.763,111.502,113.33,115.261,117.311,119.494,121.829,124.332,127.024,129.925,133.058,136.446,140.117,144.099,148.422,153.12,158.229,163.789,169.843,176.437,183.624,191.458,200
SPACE_POINTS_Y
0,0.00318941,0.00645943,0.00989268,0.0135759,0.0176023,0.0220734,0.0271024,0.0328163,0.0393595,0.0468974,0.0556204,0.065749,0.0775393,0.0912889,0.107346,0.126115,0.148072,0.17377,0.20386,0.239102,0.280386,0.328755,0.385433,0.451851,0.529688,0.620912,0.727826,0.853133,1
VALUES
10.9967,11.0741,11.1522,11.2342,11.3214,11.4162,11.5207,11.6373,11.7686,11.9174,12.087,12.2807,12.5025,12.7564,13.0472,13.3796,13.7592,14.1919,14.6836,15.2411,15.8708,16.5794,17.3762,18.2708,19.2369,20.0193,20.9425,29.6537,-2.17696,92.955
11.7712,11.8498,11.929,12.0121,12.1006,12.1967,12.3027,12.4209,12.5541,12.7051,12.8771,13.0735,13.2984,13.5561,13.851,14.1883,14.5733,15.0124,15.5115,16.0776,16.7173,17.4376,18.248,19.1593,20.1485,20.9523,21.8289,30.8374,-1.4775,94.5215
12.5533,12.6328,12.7129,12.7969,12.8864,12.9836,13.0908,13.2104,13.3451,13.4979,13.6719,13.8707,14.0982,14.3589,14.6574,14.9988,15.3886,15.8333,16.3388,16.9124,17.561,18.2917,19.1143,20.0408,21.0513,21.8757,22.706,31.9926,-0.771101,96.0455
13.3466,13.4267,13.5075,13.5924,13.6827,13.7808,13.8889,14.0097,14.1456,14.2998,14.4755,14.6762,14.906,15.1693,15.4708,15.8156,16.2096,16.659,17.1701,17.7504,18.4068,19.1467,19.9804,20.9207,21.9509,22.7955,23.5797,33.1282,-0.0553002,97.5389
14.1557,14.2364,14.3177,14.4031,14.494,14.5928,14.7018,14.8234,14.9603,15.1156,15.2926,15.4949,15.7265,15.9919,16.2959,16.6437,17.041,17.4946,18.0106,18.5967,19.2601,20.0084,20.8521,21.805,22.8535,23.7177,24.4562,34.2533,0.673268,99.0132
14.9857,15.0668,15.1485,15.2343,15.3257,15.425,15.5345,15.6568,15.7944,15.9506,16.1286,16.3321,16.5651,16.8322,17.1382,17.4884,17.8887,18.3457,18.866,19.4571,20.1267,20.8825,21.7353,22.6997,23.7655,24.6491,25.3417,35.3768,1.41876,100.48
15.8428,15.924,16.006,16.0921,16.1837,16.2833,16.3932,16.5159,16.6541,16.8109,16.9896,17.194,17.428,17.6964,18.004,18.3561,18.7587,19.2186,19.7425,20.3381,21.0131,21.7756,22.6367,23.6118,24.6938,25.5966,26.2431,36.5076,2.18606,101.95
16.7335,16.8149,16.8969,16.9831,17.0748,17.1745,17.2846,17.4075,17.546,17.7031,17.8823,18.0872,18.3219,18.5912,18.8999,19.2535,19.6579,20.1202,20.647,21.2464,21.9262,22.6947,23.5634,24.5482,25.6456,26.5675,27.1675,37.6549,2.98074,103.436
17.6655,17.7468,17.8287,17.9148,18.0065,18.1062,18.2162,18.3391,18.4776,18.6348,18.8141,19.0192,19.2543,19.5241,19.8335,20.1881,20.5938,21.0578,21.587,22.1896,22.8735,23.6474,24.5229,25.5168,26.6289,27.5699,28.1227,38.828,3.80906,104.948
18.6472,18.7282,18.8099,18.8957,18.9872,19.0866,19.1964,19.319,19.4573,19.6143,19.7934,19.9984,20.2334,20.5033,20.813,21.168,21.5745,22.0398,22.5708,23.1758,23.8633,24.6419,25.5236,26.5258,27.6518,28.612,29.1167,40.0367,4.67801,106.498
19.6876,19.7682,19.8495,19.9348,20.0259,20.1249,20.2342,20.3564,20.4942,20.6507,20.8293,21.0337,21.2684,21.5379,21.8474,22.2023,22.6091,23.0749,23.6071,24.2141,24.9044,25.687,26.5743,27.5842,28.7234,29.7031,30.1585,41.291,5.59532,108.099
20.7972,20.8772,20.9579,21.0426,21.133,21.2314,21.34,21.4614,21.5984,21.7541,21.9319,22.1354,22.3691,22.6379,22.9466,23.301,23.7074,24.1732,24.7059,25.3142,26.0066,26.7926,27.6847,28.7016,29.8535,30.8528,31.2576,42.6016,6.56957,109.763
21.9875,22.0666,22.1464,22.2303,22.3199,22.4173,22.5249,22.6453,22.7812,22.9357,23.1123,23.3145,23.5469,23.8142,24.1217,24.4749,24.8803,25.3454,25.878,26.4867,27.1806,27.9692,28.8654,29.8886,31.0525,32.0718,32.4243,43.9797,7.61022,111.502
23.2708,23.3488,23.4276,23.5104,23.5989,23.695,23.8015,23.9206,24.055,24.208,24.3829,24.5834,24.8138,25.0793,25.3848,25.7362,26.1398,26.6035,27.135,27.7435,28.438,29.2284,30.1281,31.1568,32.332,33.3717,33.67,45.4376,8.72779,113.33
24.6613,24.738,24.8154,24.8968,24.9839,25.0787,25.1836,25.3009,25.4335,25.5845,25.7573,25.9555,26.1835,26.4463,26.7493,27.098,27.4991,27.9606,28.4902,29.0975,29.7917,30.5831,31.4853,32.5188,33.7046,34.7651,35.0072,46.9881,9.93392,115.261
26.1742,26.2493,26.3253,26.4051,26.4904,26.5834,26.6863,26.8017,26.932,27.0805,27.2506,27.4459,27.6708,27.9304,28.2299,28.5752,28.9728,29.4311,29.9579,30.563,31.256,32.0473,32.9512,33.9884,35.184,36.2657,36.4494,48.6453,11.2415,117.311
27.8269,27.9,27.974,28.0519,28.1353,28.2261,28.3267,28.4395,28.5672,28.7127,28.8794,29.0712,29.2924,29.5478,29.8431,30.184,30.5773,31.0312,31.5541,32.1558,32.8464,33.6366,34.5411,35.5811,36.7856,37.8889,38.0116,50.4246,12.665,119.494
29.6379,29.7088,29.7806,29.8562,29.9372,30.0254,30.1233,30.2332,30.3576,30.4995,30.6624,30.8498,31.0663,31.317,31.607,31.9425,32.3301,32.7786,33.2963,33.8934,34.5804,35.3682,36.2721,37.3138,38.526,39.6513,39.7107,52.3426,14.2205,121.829
