SPACE_POINTS_X
50,51.0067,52.0134,53.0201,54.0268,55.0336,56.0403,57.047,58.0537,59.0604,60.0671,61.0738,62.0805,63.0872,64.094,65.1007,66.1074,67.1141,68.1208,69.1275,70.1342,71.1409,72.1477,73.1544,74.1611,75.1678,76.1745,77.1812,78.1879,79.1946,80.2013,81.2081,82.2148,83.2215,84.2282,85.2349,86.2416,87.2483,88.255,89.2617,90.2685,91.2752,92.2819,93.2886,94.2953,95.302,96.3087,97.3154,98.3221,99.3289,100.336,101.342,102.349,103.356,104.362,105.369,106.376,107.383,108.389,109.396,110.403,111.409,112.416,113.423,114.43,115.436,116.443,117.45,118.456,119.463,120.47,121.477,122.483,123.49,124.497,125.503,126.51,127.517,128.523,129.53,130.537,131.544,132.55,133.557,134.564,135.57,136.577,137.584,138.591,139.597,140.604,141.611,142.617,143.624,144.631,145.638,146.644,147.651,148.658,149.664,150.671,151.678,152.685,153.691,154.698,155.705,156.711,157.718,158.725,159.732,160.738,161.745,162.752,163.758,164.765,165.772,166.779,167.785,168.792,169.799,170.805,171.812,172.819,173.826,174.832,175.839,176.846,177.852,178.859,179.866,180.872,181.879,182.886,183.893,184.899,185.906,186.913,187.919,188.926,189.933,190.94,191.946,192.953,193.96,194.966,195.973,196.98,197.987,198.993,200
SPACE_POINTS_Y
0,0.0244898,0.0489796,0.0734694,0.0979592,0.122449,0.146939,0.171429,0.195918,0.220408,0.244898,0.269388,0.293878,0.318367,0.342857,0.367347,0.391837,0.416327,0.440816,0.465306,0.489796,0.514286,0.538776,0.563265,0.587755,0.612245,0.636735,0.661225,0.685714,0.710204,0.734694,0.759184,0.783674,0.808163,0.832653,0.857143,0.881633,0.906123,0.930612,0.955102,0.979592,1.00408,1.02857,1.05306,1.07755,1.10204,1.12653,1.15102,1.17551,1.2
VALUES
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.841895,0.395084,0.597066,0.493738,0.56295,0.517475,0.555186,0.530405,0.554575,0.539221,0.556738,0.54643,0.559924,0.552841,0.563488,0.558771,0.567243,0.564361,0.571124,0.569671,0.575059,0.574673,0.578947,0.579346,0.582777,0.583776,0.586591,0.588019,0.590333,0.591999,0.593973,0.595769,0.59769,0.600558,0.605533,0.580205,0.648135,0.522035,0.749475,0.395505,0.93262,0.158381,1.24968,-0.263857,1.82787,-1.11763,3.29377,-5.00871,50
1.13209,1.08801,0.961238,1.14362,0.996225,1.11679,1.03448,1.106,1.05914,1.10633,1.07668,1.11133,1.09124,1.11808,1.10423,1.12546,1.11623,1.13315,1.12753,1.14105,1.13825,1.14903,1.14834,1.1569,1.15776,1.16464,1.16668,1.17233,1.17522,1.17987,1.18323,1.1872,1.19081,1.19465,1.20034,1.21083,1.15908,1.29665,1.04185,1.50034,0.787688,1.86815,0.31179,2.50454,-0.535506,3.66522,-2.25096,6.61656,-9.81959,52.0134
1.62884,1.59789,1.48396,1.67646,1.50695,1.66105,1.55335,1.65247,1.58745,1.65566,1.61319,1.66422,1.63505,1.67489,1.65467,1.68631,1.67283,1.6981,1.68991,1.71014,1.7061,1.72226,1.72134,1.73418,1.73555,1.74588,1.74901,1.7575,1.76188,1.76887,1.77395,1.77992,1.78537,1.79111,1.79959,1.8161,1.73693,1.94562,1.5599,2.2524,1.17735,2.8059,0.461726,3.76276,-0.811584,5.50663,-3.38779,9.92234,-14.0075,53.0201
1.62884,2.3169,1.9612,2.20458,2.02467,2.19672,2.07524,2.19499,2.1162,2.20296,2.14939,2.21582,2.17839,2.23077,2.20462,2.24643,2.22895,2.26245,2.25185,2.27872,2.27355,2.29505,2.29397,2.31108,2.31301,2.32678,2.33102,2.34235,2.34825,2.35759,2.3644,2.37238,2.37966,2.38731,2.3985,2.42152,2.31404,2.59512,2.07663,3.00547,1.56523,3.7452,0.609591,5.02266,-1.08893,7.34693,-4.51644,13.1727,-17.6225,53.0201
2.64888,2.62252,2.52199,2.7154,2.5494,2.72554,2.60036,2.73427,2.64594,2.74869,2.68583,2.76651,2.72171,2.78606,2.75449,2.80615,2.78497,2.8265,2.81368,2.84708,2.8409,2.86768,2.86651,2.88786,2.89038,2.90759,2.91297,2.92713,2.93457,2.94625,2.9548,2.96479,2.97391,2.98344,2.99729,3.02726,2.89067,3.24519,2.59245,3.75935,1.95203,4.68544,0.7567,6.28265,-1.36457,9.18134,-5.62612,16.3398,-20.7501,55.0336
3.15699,3.13916,3.03858,3.22803,3.07818,3.24987,3.12827,3.27127,3.17699,3.2933,3.22293,3.31666,3.26542,3.3411,3.30462,3.36577,3.34121,3.39057,3.37571,3.41552,3.40843,3.44041,3.43921,3.46477,3.46792,3.48854,3.49508,3.51206,3.52103,3.53505,3.54535,3.55735,3.5683,3.57969,3.59614,3.63346,3.46706,3.89588,3.10772,4.51389,2.3384,5.62602,0.904276,7.54124,-1.63576,11.0054,-6.70723,19.4042,-23.4444,56.0403
3.15699,3.84245,3.52463,3.74025,3.61016,3.77205,3.65823,3.80704,3.70949,3.8373,3.76103,3.86662,3.80987,3.89619,3.85535,3.92559,3.89796,3.9549,3.93819,3.98426,3.97637,4.01348,4.01232,4.04202,4.04585,4.06984,4.07755,4.09733,4.10785,4.12419,4.13624,4.15023,4.16301,4.17624,4.19521,4.24027,4.04343,4.54725,3.6228,5.26892,2.72494,6.56642,1.05345,8.79706,-1.89997,12.8151,-7.75156,22.3529,-25.7389,56.0403
