SPACE_POINTS_X
50,51.5152,53.0303,54.5455,56.0606,57.5758,59.0909,60.6061,62.1212,63.6364,65.1515,66.6667,68.1818,69.697,71.2121,72.7273,74.2424,75.7576,77.2727,78.7879,80.303,81.8182,83.3333,84.8485,86.3636,87.8788,89.3939,90.9091,92.4242,93.9394,95.4545,96.9697,98.4848,100,101.515,103.03,104.545,106.061,107.576,109.091,110.606,112.121,113.636,115.152,116.667,118.182,119.697,121.212,122.727,124.242,125.758,127.273,128.788,130.303,131.818,133.333,134.848,136.364,137.879,139.394,140.909,142.424,143.939,145.455,146.97,148.485,150,151.515,153.03,154.545,156.061,157.576,159.091,160.606,162.121,163.636,165.152,166.667,168.182,169.697,171.212,172.727,174.242,175.758,177.273,178.788,180.303,181.818,183.333,184.848,186.364,187.879,189.394,190.909,192.424,193.939,195.455,196.97,198.485,200
SPACE_POINTS_Y
0,0.0144928,0.0289855,0.0434783,0.057971,0.0724638,0.0869565,0.101449,0.115942,0.130435,0.144928,0.15942,0.173913,0.188406,0.202899,0.217391,0.231884,0.246377,0.26087,0.275362,0.289855,0.304348,0.318841,0.333333,0.347826,0.362319,0.376812,0.391304,0.405797,0.42029,0.434783,0.449275,0.463768,0.478261,0.492754,0.507246,0.521739,0.536232,0.550725,0.565217,0.57971,0.594203,0.608696,0.623188,0.637681,0.652174,0.666667,0.681159,0.695652,0.710145,0.724638,0.73913,0.753623,0.768116,0.782609,0.797101,0.811594,0.826087,0.84058,0.855072,0.869565,0.884058,0.898551,0.913043,0.927536,0.942029,0.956522,0.971014,0.985507,1
VALUES
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.808141,0.808284,0.809262,0.810522,0.812176,0.815446,0.812817,0.826532,0.806875,0.845969,0.795152,0.867931,0.786051,0.884655,0.78307,0.89584,0.784658,0.904396,0.788498,0.909914,0.796013,0.912054,0.805115,0.914594,0.816255,0.910195,0.832038,0.909483,0.841972,0.906447,0.861977,0.895755,0.878253,0.89898,0.87933,0.909498,0.882871,0.91224,0.893248,0.911875,0.903144,0.913567,0.91071,0.916976,0.916982,0.921157,0.922619,0.925726,0.927856,0.930487,0.932861,0.93532,0.937726,0.940132,0.942524,0.944898,0.947255,0.949599,0.951921,0.954212,0.956589,0.959078,0.958864,0.973518,0.929254,1.08317,0.622039,2.06498,-3.68756,51.5152
1.59458,1.59893,1.60365,1.60871,1.61001,1.62742,1.60642,1.6589,1.58998,1.70196,1.56905,1.74214,1.55777,1.77082,1.55655,1.79096,1.56222,1.80721,1.57138,1.8174,1.58825,1.82079,1.607,1.82651,1.62984,1.81666,1.6627,1.81528,1.68283,1.80844,1.72454,1.78625,1.75677,1.79456,1.75701,1.81717,1.76363,1.82274,1.78473,1.8219,1.80471,1.82537,1.81989,1.83231,1.83247,1.84078,1.84379,1.85,1.85432,1.8596,1.86438,1.86932,1.87416,1.879,1.88381,1.88858,1.89332,1.89803,1.9027,1.90729,1.91206,1.91718,1.9162,1.94755,1.85273,2.17906,1.2014,4.2818,-7.54505,53.0303
2.3739,2.3822,2.39036,2.41212,2.38392,2.45939,2.36593,2.52074,2.33572,2.58475,2.31535,2.63194,2.31331,2.66467,2.31964,2.69034,2.3326,2.71251,2.34898,2.72545,2.3782,2.72811,2.40693,2.73842,2.44185,2.72062,2.49455,2.71797,2.52515,2.70583,2.59151,2.67027,2.63917,2.68683,2.63478,2.72458,2.64317,2.73316,2.67548,2.73147,2.70588,2.73665,2.72875,2.7472,2.74766,2.76003,2.76467,2.77397,2.78051,2.78844,2.79566,2.8031,2.8104,2.81768,2.82492,2.8321,2.83923,2.84632,2.85335,2.86026,2.86741,2.87529,2.87299,2.92302,2.77171,3.28728,1.74608,6.57035,-10.5119,54.5455
3.17787,3.17143,3.12145,3.28048,3.0951,3.34863,3.06495,3.43707,3.03389,3.50164,3.03595,3.53869,3.05515,3.56885,3.07288,3.59726,3.09641,3.62314,3.12197,3.6361,3.16782,3.63506,3.20597,3.65303,3.25295,3.6229,3.33034,3.61737,3.37199,3.59755,3.46715,3.54598,3.52911,3.57569,3.51412,3.63319,3.52221,3.64504,3.5664,3.64181,3.60772,3.64851,3.63836,3.66271,3.66358,3.67996,3.68629,3.69865,3.70744,3.71802,3.72769,3.73763,3.74738,3.75711,3.76679,3.77639,3.78592,3.79539,3.80478,3.81401,3.82352,3.83431,3.83013,3.90069,3.68745,4.40698,2.2668,8.85693,-12.7473,56.0606
3.17787,4.58998,3.53258,4.28108,3.72279,4.32632,3.68209,4.41734,3.69263,4.44282,3.74336,4.45708,3.78849,4.48407,3.81745,4.51365,3.85511,4.54078,3.89134,4.55049,3.95969,4.5418,4.00493,4.57353,4.06306,4.52403,4.17338,4.51208,4.22738,4.48119,4.35664,4.41064,4.43046,4.46077,4.39635,4.54439,4.40124,4.55975,4.45825,4.554,4.51114,4.56192,4.54966,4.57977,4.58116,4.60146,4.60953,4.62493,4.63599,4.64921,4.66131,4.67376,4.68596,4.69815,4.71025,4.72227,4.73419,4.74605,4.75779,4.76933,4.7812,4.79501,4.7884,4.88126,4.60113,5.5369,2.77504,11.0941,-14.3497,56.0606
6.09327,3.66254,5.18523,4.92554,4.31401,5.42154,4.22581,5.42892,4.35127,5.3813,4.45586,5.38057,4.51772,5.41115,4.55444,5.44033,4.61112,5.46605,4.65827,5.46895,4.75728,5.44743,4.80413,5.50417,4.87104,5.42414,5.02796,5.39902,5.09688,5.35255,5.26637,5.26036,5.3475,5.34143,5.28258,5.45953,5.28061,5.47861,5.35164,5.46901,5.41695,5.47773,5.46347,5.49919,5.5012,5.52534,5.5352,5.55358,5.56692,5.58276,5.59731,5.61225,5.6269,5.64152,5.65605,5.67047,5.68477,5.699,5.7131,5.72694,5.74112,5.75808,5.74852,5.86528,5.51392,6.67555,3.28151,13.254,-15.4582,57.5758
1.17997,9.43536,2.54352,7.68117,4.13257,6.69711,4.80095,6.3757,5.06999,6.29057,5.18396,6.30914,5.24316,6.35212,5.28471,6.37685,5.36809,6.39862,5.42376,6.39124,5.56521,6.34987,5.60305,6.45115,5.67397,6.32305,5.89989,6.27262,5.98837,6.20505,6.2045,6.08989,6.28505,6.21669,6.17381,6.37995,6.16043,6.40285,6.24709,6.38772,6.32586,6.39668,6.38052,6.4217,6.42444,6.45232,6.46399,6.48532,6.50094,6.51937,6.53635,6.55376,6.57084,6.58788,6.60482,6.62163,6.63831,6.65489,6.67132,6.68744,6.70391,6.72413,6.71111,6.85324,6.42693,7.82134,3.7954,15.3235,-16.1953,59.0909
6.45108,6.3352,5.96088,7.05457,5.61665,7.20587,5.74524,7.15199,5.87288,7.17687,5.91683,7.25328,5.96114,7.30934,6.00965,7.32107,6.13126,7.33756,6.18803,7.31681,6.38969,7.2455,6.39982,7.42379,6.4664,7.22027,6.79728,7.12389,6.91298,7.02903,7.18136,6.89234,7.24861,7.08527,7.07086,7.30702,7.04066,7.33368,7.14498,7.31092,7.23847,7.31944,7.30144,7.34794,7.35148,7.38301,7.39652,7.42075,7.43864,7.45964,7.47903,7.49889,7.51838,7.53782,7.55715,7.57633,7.59535,7.61427,7.63302,7.6514,7.67011,7.6937,7.67673,7.84556,7.34121,8.97267,4.32406,17.2994,-16.6655,62.1212
7.11652,7.12348,7.07235,7.39288,6.88416,7.68071,6.76766,7.90045,6.67619,8.09407,6.62415,8.22875,6.66866,8.28289,6.73227,8.26869,6.90769,8.28176,6.94969,8.24508,7.23918,8.12868,7.19047,8.43631,7.239,8.115,7.73151,7.93912,7.8863,7.81087,8.21003,7.65897,8.2444,7.94554,7.97438,8.24218,7.92102,8.27226,8.04559,8.2393,8.15531,8.24659,8.2268,8.27846,8.28288,8.31796,8.33333,8.3604,8.38055,8.40408,8.42586,8.44815,8.47002,8.49184,8.51353,8.53505,8.5564,8.57763,8.59867,8.6193,8.6402,8.66727,8.64587,8.84257,8.25776,10.1281,4.87311,19.1835,-16.903,63.6364
